input,output
Create a red pyramid at position -16 -26 -76.,"createObject(type='pyramid', color='red', location={x:-16, y:-26, z:-76})"
Create a yellow sphere at position -80 1 -98.,"createObject(type='sphere', color='yellow', location={x:-80, y:1, z:-98})"
Create a yellow pyramid at position 2 -28 31.,"createObject(type='pyramid', color='yellow', location={x:2, y:-28, z:31})"
Create a red pyramid at position -1 29 -31.,"createObject(type='pyramid', color='red', location={x:-1, y:29, z:-31})"
Create a green pyramid at position 13 81 45.,"createObject(type='pyramid', color='green', location={x:13, y:81, z:45})"
Create a yellow sphere at position -25 61 -40.,"createObject(type='sphere', color='yellow', location={x:-25, y:61, z:-40})"
Create a yellow pyramid at position -39 -37 84.,"createObject(type='pyramid', color='yellow', location={x:-39, y:-37, z:84})"
Create a yellow sphere at position 92 -27 -30.,"createObject(type='sphere', color='yellow', location={x:92, y:-27, z:-30})"
Create a red sphere at position 48 -81 88.,"createObject(type='sphere', color='red', location={x:48, y:-81, z:88})"
Create a green pyramid at position -71 -58 -21.,"createObject(type='pyramid', color='green', location={x:-71, y:-58, z:-21})"
Create a blue sphere at position -23 -97 98.,"createObject(type='sphere', color='blue', location={x:-23, y:-97, z:98})"
Create a green pyramid at position 79 51 30.,"createObject(type='pyramid', color='green', location={x:79, y:51, z:30})"
Create a green cube at position 84 23 -85.,"createObject(type='cube', color='green', location={x:84, y:23, z:-85})"
Create a red cube at position 30 37 9.,"createObject(type='cube', color='red', location={x:30, y:37, z:9})"
Create a blue pyramid at position 51 44 32.,"createObject(type='pyramid', color='blue', location={x:51, y:44, z:32})"
Create a green pyramid at position -86 28 50.,"createObject(type='pyramid', color='green', location={x:-86, y:28, z:50})"
Create a blue pyramid at position 51 31 67.,"createObject(type='pyramid', color='blue', location={x:51, y:31, z:67})"
Create a yellow sphere at position 82 60 58.,"createObject(type='sphere', color='yellow', location={x:82, y:60, z:58})"
Create a red pyramid at position -33 -50 -40.,"createObject(type='pyramid', color='red', location={x:-33, y:-50, z:-40})"
Create a red cube at position 56 34 -90.,"createObject(type='cube', color='red', location={x:56, y:34, z:-90})"
Create a blue sphere at position 44 69 -54.,"createObject(type='sphere', color='blue', location={x:44, y:69, z:-54})"
Create a red pyramid at position 61 -2 69.,"createObject(type='pyramid', color='red', location={x:61, y:-2, z:69})"
Create a yellow cube at position 49 27 -40.,"createObject(type='cube', color='yellow', location={x:49, y:27, z:-40})"
Create a green cube at position 24 58 3.,"createObject(type='cube', color='green', location={x:24, y:58, z:3})"
Create a yellow cube at position 99 90 46.,"createObject(type='cube', color='yellow', location={x:99, y:90, z:46})"
Create a yellow sphere at position -96 39 -80.,"createObject(type='sphere', color='yellow', location={x:-96, y:39, z:-80})"
Create a blue cube at position 87 52 -13.,"createObject(type='cube', color='blue', location={x:87, y:52, z:-13})"
Create a green pyramid at position 36 -69 -40.,"createObject(type='pyramid', color='green', location={x:36, y:-69, z:-40})"
Create a yellow cube at position 36 47 -91.,"createObject(type='cube', color='yellow', location={x:36, y:47, z:-91})"
Create a red sphere at position 70 51 -11.,"createObject(type='sphere', color='red', location={x:70, y:51, z:-11})"
Create a blue pyramid at position 71 -60 -62.,"createObject(type='pyramid', color='blue', location={x:71, y:-60, z:-62})"
Create a blue sphere at position 71 -10 -75.,"createObject(type='sphere', color='blue', location={x:71, y:-10, z:-75})"
Create a red cube at position -55 59 -6.,"createObject(type='cube', color='red', location={x:-55, y:59, z:-6})"
Create a red pyramid at position -70 -51 -84.,"createObject(type='pyramid', color='red', location={x:-70, y:-51, z:-84})"
Create a yellow pyramid at position 79 62 35.,"createObject(type='pyramid', color='yellow', location={x:79, y:62, z:35})"
Create a red cube at position -83 -61 35.,"createObject(type='cube', color='red', location={x:-83, y:-61, z:35})"
Create a yellow cube at position 56 -21 -30.,"createObject(type='cube', color='yellow', location={x:56, y:-21, z:-30})"
Create a blue sphere at position 65 35 -75.,"createObject(type='sphere', color='blue', location={x:65, y:35, z:-75})"
Create a red pyramid at position -51 31 84.,"createObject(type='pyramid', color='red', location={x:-51, y:31, z:84})"
Create a yellow sphere at position 40 7 -70.,"createObject(type='sphere', color='yellow', location={x:40, y:7, z:-70})"
Create a green pyramid at position 5 -18 -57.,"createObject(type='pyramid', color='green', location={x:5, y:-18, z:-57})"
Create a yellow cube at position 43 -25 -80.,"createObject(type='cube', color='yellow', location={x:43, y:-25, z:-80})"
Create a blue pyramid at position -61 4 40.,"createObject(type='pyramid', color='blue', location={x:-61, y:4, z:40})"
Create a blue cube at position -54 20 -71.,"createObject(type='cube', color='blue', location={x:-54, y:20, z:-71})"
Create a blue sphere at position 87 -51 81.,"createObject(type='sphere', color='blue', location={x:87, y:-51, z:81})"
Create a yellow cube at position 81 -9 -100.,"createObject(type='cube', color='yellow', location={x:81, y:-9, z:-100})"
Create a red cube at position -88 45 -39.,"createObject(type='cube', color='red', location={x:-88, y:45, z:-39})"
Create a blue pyramid at position -63 13 57.,"createObject(type='pyramid', color='blue', location={x:-63, y:13, z:57})"
Move the sphere to position 22 -93 41.,"moveObject(target='sphere', location={x:22, y:-93, z:41})"
Move the pyramid to position 80 -2 -31.,"moveObject(target='pyramid', location={x:80, y:-2, z:-31})"
Move the sphere to position 85 -77 50.,"moveObject(target='sphere', location={x:85, y:-77, z:50})"
Move the pyramid to position 87 -25 9.,"moveObject(target='pyramid', location={x:87, y:-25, z:9})"
Move the cube to position 6 -71 -33.,"moveObject(target='cube', location={x:6, y:-71, z:-33})"
Move the sphere to position 81 54 -68.,"moveObject(target='sphere', location={x:81, y:54, z:-68})"
Move the pyramid to position 50 -59 -82.,"moveObject(target='pyramid', location={x:50, y:-59, z:-82})"
Move the cube to position -15 -71 62.,"moveObject(target='cube', location={x:-15, y:-71, z:62})"
Move the sphere to position 23 -36 51.,"moveObject(target='sphere', location={x:23, y:-36, z:51})"
Move the sphere to position -56 7 16.,"moveObject(target='sphere', location={x:-56, y:7, z:16})"
Move the sphere to position 92 -38 -40.,"moveObject(target='sphere', location={x:92, y:-38, z:-40})"
Move the pyramid to position 18 -78 21.,"moveObject(target='pyramid', location={x:18, y:-78, z:21})"
Move the sphere to position 42 -1 -45.,"moveObject(target='sphere', location={x:42, y:-1, z:-45})"
Move the cube to position -14 -98 89.,"moveObject(target='cube', location={x:-14, y:-98, z:89})"
Move the cube to position 100 -7 -100.,"moveObject(target='cube', location={x:100, y:-7, z:-100})"
Move the cube to position 43 -28 -88.,"moveObject(target='cube', location={x:43, y:-28, z:-88})"
Move the cube to position -23 -40 46.,"moveObject(target='cube', location={x:-23, y:-40, z:46})"
Move the sphere to position -77 -3 21.,"moveObject(target='sphere', location={x:-77, y:-3, z:21})"
Move the pyramid to position -59 82 -41.,"moveObject(target='pyramid', location={x:-59, y:82, z:-41})"
Move the pyramid to position 43 42 70.,"moveObject(target='pyramid', location={x:43, y:42, z:70})"
Move the pyramid to position -20 -91 50.,"moveObject(target='pyramid', location={x:-20, y:-91, z:50})"
Move the cube to position 29 -38 44.,"moveObject(target='cube', location={x:29, y:-38, z:44})"
Move the cube to position -6 68 50.,"moveObject(target='cube', location={x:-6, y:68, z:50})"
Move the cube to position 92 13 -42.,"moveObject(target='cube', location={x:92, y:13, z:-42})"
Move the cube to position 10 -15 10.,"moveObject(target='cube', location={x:10, y:-15, z:10})"
Move the pyramid to position 3 -47 80.,"moveObject(target='pyramid', location={x:3, y:-47, z:80})"
Move the cube to position -91 -7 85.,"moveObject(target='cube', location={x:-91, y:-7, z:85})"
Move the cube to position 34 20 0.,"moveObject(target='cube', location={x:34, y:20, z:0})"
Move the pyramid to position -42 -29 5.,"moveObject(target='pyramid', location={x:-42, y:-29, z:5})"
Move the cube to position 100 37 -6.,"moveObject(target='cube', location={x:100, y:37, z:-6})"
Move the sphere to position -83 66 75.,"moveObject(target='sphere', location={x:-83, y:66, z:75})"
Move the sphere to position -77 3 85.,"moveObject(target='sphere', location={x:-77, y:3, z:85})"
Move the pyramid to position 25 88 2.,"moveObject(target='pyramid', location={x:25, y:88, z:2})"
Move the pyramid to position 29 -94 -89.,"moveObject(target='pyramid', location={x:29, y:-94, z:-89})"
Move the cube to position 5 -96 -52.,"moveObject(target='cube', location={x:5, y:-96, z:-52})"
Move the sphere to position -92 -95 -61.,"moveObject(target='sphere', location={x:-92, y:-95, z:-61})"
Move the sphere to position 28 -68 93.,"moveObject(target='sphere', location={x:28, y:-68, z:93})"
Move the cube to position 72 -10 50.,"moveObject(target='cube', location={x:72, y:-10, z:50})"
Move the pyramid to position -50 -47 -68.,"moveObject(target='pyramid', location={x:-50, y:-47, z:-68})"
Move the cube to position -64 -51 -69.,"moveObject(target='cube', location={x:-64, y:-51, z:-69})"
Move the cube to position -2 31 -36.,"moveObject(target='cube', location={x:-2, y:31, z:-36})"
Move the cube to position -94 91 -42.,"moveObject(target='cube', location={x:-94, y:91, z:-42})"
Move the pyramid to position 7 -19 51.,"moveObject(target='pyramid', location={x:7, y:-19, z:51})"
Move the cube to position 84 -80 64.,"moveObject(target='cube', location={x:84, y:-80, z:64})"
Move the cube to position 6 -80 23.,"moveObject(target='cube', location={x:6, y:-80, z:23})"
Move the cube to position -3 -70 39.,"moveObject(target='cube', location={x:-3, y:-70, z:39})"
Move the cube to position 50 -52 -81.,"moveObject(target='cube', location={x:50, y:-52, z:-81})"
Move the pyramid to position 77 73 -51.,"moveObject(target='pyramid', location={x:77, y:73, z:-51})"
Move the cube to position -35 63 86.,"moveObject(target='cube', location={x:-35, y:63, z:86})"
Move the sphere to position -80 -96 78.,"moveObject(target='sphere', location={x:-80, y:-96, z:78})"
Move the pyramid to position 49 98 -52.,"moveObject(target='pyramid', location={x:49, y:98, z:-52})"
Move the pyramid to position -14 -36 40.,"moveObject(target='pyramid', location={x:-14, y:-36, z:40})"
Move the cube to position -52 -47 16.,"moveObject(target='cube', location={x:-52, y:-47, z:16})"
Move the pyramid to position 83 -32 95.,"moveObject(target='pyramid', location={x:83, y:-32, z:95})"
Move the cube to position -66 9 -29.,"moveObject(target='cube', location={x:-66, y:9, z:-29})"
Move the sphere to position 23 43 14.,"moveObject(target='sphere', location={x:23, y:43, z:14})"
Move the cube to position -73 -82 -41.,"moveObject(target='cube', location={x:-73, y:-82, z:-41})"
Move the pyramid to position 44 -81 -34.,"moveObject(target='pyramid', location={x:44, y:-81, z:-34})"
Move the pyramid to position 20 69 -6.,"moveObject(target='pyramid', location={x:20, y:69, z:-6})"
Move the cube to position -89 -11 92.,"moveObject(target='cube', location={x:-89, y:-11, z:92})"
Move the sphere to position -72 2 40.,"moveObject(target='sphere', location={x:-72, y:2, z:40})"
Move the cube to position -9 10 66.,"moveObject(target='cube', location={x:-9, y:10, z:66})"
Move the sphere to position 92 -86 23.,"moveObject(target='sphere', location={x:92, y:-86, z:23})"
Move the pyramid to position 57 66 -95.,"moveObject(target='pyramid', location={x:57, y:66, z:-95})"
Move the cube to position 62 8 50.,"moveObject(target='cube', location={x:62, y:8, z:50})"
Move the sphere to position -19 -77 -62.,"moveObject(target='sphere', location={x:-19, y:-77, z:-62})"
Move the sphere to position 97 1 -92.,"moveObject(target='sphere', location={x:97, y:1, z:-92})"
Move the sphere to position -35 83 -55.,"moveObject(target='sphere', location={x:-35, y:83, z:-55})"
Move the sphere to position 4 42 43.,"moveObject(target='sphere', location={x:4, y:42, z:43})"
Move the sphere to position -50 25 17.,"moveObject(target='sphere', location={x:-50, y:25, z:17})"
Move the cube to position 20 -14 -51.,"moveObject(target='cube', location={x:20, y:-14, z:-51})"
Move the cube to position 4 -78 -58.,"moveObject(target='cube', location={x:4, y:-78, z:-58})"
Move the cube to position 58 72 -21.,"moveObject(target='cube', location={x:58, y:72, z:-21})"
Move the sphere to position -91 4 -61.,"moveObject(target='sphere', location={x:-91, y:4, z:-61})"
Move the pyramid to position 25 45 99.,"moveObject(target='pyramid', location={x:25, y:45, z:99})"
Move the cube to position -54 83 -68.,"moveObject(target='cube', location={x:-54, y:83, z:-68})"
Move the sphere to position -93 -23 39.,"moveObject(target='sphere', location={x:-93, y:-23, z:39})"
Move the cube to position 49 45 96.,"moveObject(target='cube', location={x:49, y:45, z:96})"
Move the pyramid to position -1 43 15.,"moveObject(target='pyramid', location={x:-1, y:43, z:15})"
Move the cube to position 86 -91 43.,"moveObject(target='cube', location={x:86, y:-91, z:43})"
Move the cube to position 6 -20 71.,"moveObject(target='cube', location={x:6, y:-20, z:71})"
Move the pyramid to position 56 -10 -9.,"moveObject(target='pyramid', location={x:56, y:-10, z:-9})"
Move the sphere to position -100 52 53.,"moveObject(target='sphere', location={x:-100, y:52, z:53})"
Move the pyramid to position -26 50 14.,"moveObject(target='pyramid', location={x:-26, y:50, z:14})"
Move the cube to position 100 -86 93.,"moveObject(target='cube', location={x:100, y:-86, z:93})"
Move the sphere to position -32 28 -17.,"moveObject(target='sphere', location={x:-32, y:28, z:-17})"
Move the sphere to position -32 45 32.,"moveObject(target='sphere', location={x:-32, y:45, z:32})"
Move the cube to position -18 45 -18.,"moveObject(target='cube', location={x:-18, y:45, z:-18})"
Move the cube to position -42 53 -41.,"moveObject(target='cube', location={x:-42, y:53, z:-41})"
Move the sphere to position 90 -3 -47.,"moveObject(target='sphere', location={x:90, y:-3, z:-47})"
Move the sphere to position -100 -35 25.,"moveObject(target='sphere', location={x:-100, y:-35, z:25})"
Move the sphere to position 25 6 99.,"moveObject(target='sphere', location={x:25, y:6, z:99})"
Move the cube to position 53 43 70.,"moveObject(target='cube', location={x:53, y:43, z:70})"
Move the cube to position -98 9 84.,"moveObject(target='cube', location={x:-98, y:9, z:84})"
Move the cube to position -60 -75 -69.,"moveObject(target='cube', location={x:-60, y:-75, z:-69})"
Move the sphere to position -62 78 -27.,"moveObject(target='sphere', location={x:-62, y:78, z:-27})"
Move the sphere to position -32 22 93.,"moveObject(target='sphere', location={x:-32, y:22, z:93})"
Move the sphere to position 55 86 -9.,"moveObject(target='sphere', location={x:55, y:86, z:-9})"
Move the cube to position -81 22 -46.,"moveObject(target='cube', location={x:-81, y:22, z:-46})"
Move the cube to position -81 -92 -46.,"moveObject(target='cube', location={x:-81, y:-92, z:-46})"
"Rotate the pyramid by -49 degrees on the X-axis, -86 degrees on the Y-axis, and -78 degrees on the Z-axis.","rotateObject(target='pyramid', rotation={x:-49, y:-86, z:-78})"
"Rotate the cube by -49 degrees on the X-axis, 67 degrees on the Y-axis, and -69 degrees on the Z-axis.","rotateObject(target='cube', rotation={x:-49, y:67, z:-69})"
"Rotate the cube by 20 degrees on the X-axis, -1 degrees on the Y-axis, and 43 degrees on the Z-axis.","rotateObject(target='cube', rotation={x:20, y:-1, z:43})"
"Rotate the pyramid by -4 degrees on the X-axis, -40 degrees on the Y-axis, and -92 degrees on the Z-axis.","rotateObject(target='pyramid', rotation={x:-4, y:-40, z:-92})"
"Rotate the pyramid by 12 degrees on the X-axis, 48 degrees on the Y-axis, and -84 degrees on the Z-axis.","rotateObject(target='pyramid', rotation={x:12, y:48, z:-84})"
"Rotate the pyramid by -1 degrees on the X-axis, 48 degrees on the Y-axis, and -36 degrees on the Z-axis.","rotateObject(target='pyramid', rotation={x:-1, y:48, z:-36})"
"Rotate the cube by 49 degrees on the X-axis, 95 degrees on the Y-axis, and 37 degrees on the Z-axis.","rotateObject(target='cube', rotation={x:49, y:95, z:37})"
"Rotate the pyramid by -53 degrees on the X-axis, -32 degrees on the Y-axis, and -38 degrees on the Z-axis.","rotateObject(target='pyramid', rotation={x:-53, y:-32, z:-38})"
"Rotate the sphere by 6 degrees on the X-axis, 99 degrees on the Y-axis, and 79 degrees on the Z-axis.","rotateObject(target='sphere', rotation={x:6, y:99, z:79})"
"Rotate the pyramid by 64 degrees on the X-axis, 13 degrees on the Y-axis, and -26 degrees on the Z-axis.","rotateObject(target='pyramid', rotation={x:64, y:13, z:-26})"
"Rotate the cube by 60 degrees on the X-axis, -68 degrees on the Y-axis, and 31 degrees on the Z-axis.","rotateObject(target='cube', rotation={x:60, y:-68, z:31})"
"Rotate the cube by -37 degrees on the X-axis, 68 degrees on the Y-axis, and 54 degrees on the Z-axis.","rotateObject(target='cube', rotation={x:-37, y:68, z:54})"
"Rotate the cube by 69 degrees on the X-axis, -85 degrees on the Y-axis, and 83 degrees on the Z-axis.","rotateObject(target='cube', rotation={x:69, y:-85, z:83})"
"Rotate the sphere by 99 degrees on the X-axis, 47 degrees on the Y-axis, and -32 degrees on the Z-axis.","rotateObject(target='sphere', rotation={x:99, y:47, z:-32})"
"Rotate the cube by 6 degrees on the X-axis, -73 degrees on the Y-axis, and -44 degrees on the Z-axis.","rotateObject(target='cube', rotation={x:6, y:-73, z:-44})"
"Rotate the sphere by -51 degrees on the X-axis, -83 degrees on the Y-axis, and 52 degrees on the Z-axis.","rotateObject(target='sphere', rotation={x:-51, y:-83, z:52})"
"Rotate the sphere by 13 degrees on the X-axis, -90 degrees on the Y-axis, and 56 degrees on the Z-axis.","rotateObject(target='sphere', rotation={x:13, y:-90, z:56})"
"Rotate the cube by 0 degrees on the X-axis, 26 degrees on the Y-axis, and -53 degrees on the Z-axis.","rotateObject(target='cube', rotation={x:0, y:26, z:-53})"
"Rotate the pyramid by 89 degrees on the X-axis, 23 degrees on the Y-axis, and -37 degrees on the Z-axis.","rotateObject(target='pyramid', rotation={x:89, y:23, z:-37})"
"Rotate the cube by 84 degrees on the X-axis, 44 degrees on the Y-axis, and 64 degrees on the Z-axis.","rotateObject(target='cube', rotation={x:84, y:44, z:64})"
"Rotate the sphere by 10 degrees on the X-axis, -90 degrees on the Y-axis, and -70 degrees on the Z-axis.","rotateObject(target='sphere', rotation={x:10, y:-90, z:-70})"
"Rotate the cube by 96 degrees on the X-axis, -65 degrees on the Y-axis, and -87 degrees on the Z-axis.","rotateObject(target='cube', rotation={x:96, y:-65, z:-87})"
"Rotate the pyramid by 3 degrees on the X-axis, -85 degrees on the Y-axis, and -38 degrees on the Z-axis.","rotateObject(target='pyramid', rotation={x:3, y:-85, z:-38})"
"Rotate the sphere by -20 degrees on the X-axis, -15 degrees on the Y-axis, and 70 degrees on the Z-axis.","rotateObject(target='sphere', rotation={x:-20, y:-15, z:70})"
"Rotate the cube by -35 degrees on the X-axis, 4 degrees on the Y-axis, and 5 degrees on the Z-axis.","rotateObject(target='cube', rotation={x:-35, y:4, z:5})"
"Rotate the cube by 58 degrees on the X-axis, 72 degrees on the Y-axis, and -69 degrees on the Z-axis.","rotateObject(target='cube', rotation={x:58, y:72, z:-69})"
"Rotate the sphere by 6 degrees on the X-axis, 34 degrees on the Y-axis, and -48 degrees on the Z-axis.","rotateObject(target='sphere', rotation={x:6, y:34, z:-48})"
"Rotate the pyramid by 20 degrees on the X-axis, 29 degrees on the Y-axis, and 81 degrees on the Z-axis.","rotateObject(target='pyramid', rotation={x:20, y:29, z:81})"
"Rotate the sphere by 83 degrees on the X-axis, -29 degrees on the Y-axis, and -47 degrees on the Z-axis.","rotateObject(target='sphere', rotation={x:83, y:-29, z:-47})"
"Rotate the pyramid by 48 degrees on the X-axis, -97 degrees on the Y-axis, and 84 degrees on the Z-axis.","rotateObject(target='pyramid', rotation={x:48, y:-97, z:84})"
"Rotate the cube by -97 degrees on the X-axis, -81 degrees on the Y-axis, and 37 degrees on the Z-axis.","rotateObject(target='cube', rotation={x:-97, y:-81, z:37})"
"Rotate the pyramid by 15 degrees on the X-axis, 26 degrees on the Y-axis, and -34 degrees on the Z-axis.","rotateObject(target='pyramid', rotation={x:15, y:26, z:-34})"
"Rotate the cube by -21 degrees on the X-axis, -43 degrees on the Y-axis, and -82 degrees on the Z-axis.","rotateObject(target='cube', rotation={x:-21, y:-43, z:-82})"
"Rotate the cube by -98 degrees on the X-axis, 86 degrees on the Y-axis, and 56 degrees on the Z-axis.","rotateObject(target='cube', rotation={x:-98, y:86, z:56})"
"Rotate the pyramid by 68 degrees on the X-axis, -47 degrees on the Y-axis, and -18 degrees on the Z-axis.","rotateObject(target='pyramid', rotation={x:68, y:-47, z:-18})"
"Rotate the cube by 90 degrees on the X-axis, -18 degrees on the Y-axis, and 92 degrees on the Z-axis.","rotateObject(target='cube', rotation={x:90, y:-18, z:92})"
"Rotate the sphere by 29 degrees on the X-axis, 64 degrees on the Y-axis, and -10 degrees on the Z-axis.","rotateObject(target='sphere', rotation={x:29, y:64, z:-10})"
"Rotate the sphere by 67 degrees on the X-axis, 71 degrees on the Y-axis, and 68 degrees on the Z-axis.","rotateObject(target='sphere', rotation={x:67, y:71, z:68})"
"Rotate the pyramid by -92 degrees on the X-axis, 66 degrees on the Y-axis, and 15 degrees on the Z-axis.","rotateObject(target='pyramid', rotation={x:-92, y:66, z:15})"
"Rotate the cube by -76 degrees on the X-axis, 20 degrees on the Y-axis, and 84 degrees on the Z-axis.","rotateObject(target='cube', rotation={x:-76, y:20, z:84})"
"Rotate the sphere by 4 degrees on the X-axis, 52 degrees on the Y-axis, and -95 degrees on the Z-axis.","rotateObject(target='sphere', rotation={x:4, y:52, z:-95})"
"Rotate the sphere by -44 degrees on the X-axis, 36 degrees on the Y-axis, and 15 degrees on the Z-axis.","rotateObject(target='sphere', rotation={x:-44, y:36, z:15})"
"Rotate the pyramid by 43 degrees on the X-axis, 34 degrees on the Y-axis, and -50 degrees on the Z-axis.","rotateObject(target='pyramid', rotation={x:43, y:34, z:-50})"
"Rotate the pyramid by -87 degrees on the X-axis, 45 degrees on the Y-axis, and 73 degrees on the Z-axis.","rotateObject(target='pyramid', rotation={x:-87, y:45, z:73})"
"Rotate the cube by -79 degrees on the X-axis, -44 degrees on the Y-axis, and -64 degrees on the Z-axis.","rotateObject(target='cube', rotation={x:-79, y:-44, z:-64})"
"Rotate the pyramid by -48 degrees on the X-axis, -46 degrees on the Y-axis, and 85 degrees on the Z-axis.","rotateObject(target='pyramid', rotation={x:-48, y:-46, z:85})"
"Rotate the pyramid by -51 degrees on the X-axis, 74 degrees on the Y-axis, and -10 degrees on the Z-axis.","rotateObject(target='pyramid', rotation={x:-51, y:74, z:-10})"
"Rotate the cube by -36 degrees on the X-axis, 61 degrees on the Y-axis, and -26 degrees on the Z-axis.","rotateObject(target='cube', rotation={x:-36, y:61, z:-26})"
"Rotate the cube by 69 degrees on the X-axis, -26 degrees on the Y-axis, and 91 degrees on the Z-axis.","rotateObject(target='cube', rotation={x:69, y:-26, z:91})"
