input,output
"Create a yellow sphere at position -20, -28, 78.","createObject(type='sphere', color='yellow', location={x:-20, y:-28, z:78})"
"Create a blue cube at position 3, -76, 91.","createObject(type='cube', color='blue', location={x:3, y:-76, z:91})"
"Create a blue pyramid at position -16, -23, -87.","createObject(type='pyramid', color='blue', location={x:-16, y:-23, z:-87})"
"Create a yellow pyramid at position -88, 22, -96.","createObject(type='pyramid', color='yellow', location={x:-88, y:22, z:-96})"
"Create a yellow sphere at position 5, -89, -33.","createObject(type='sphere', color='yellow', location={x:5, y:-89, z:-33})"
"Create a green sphere at position 76, -11, -76.","createObject(type='sphere', color='green', location={x:76, y:-11, z:-76})"
"Create a green sphere at position -93, 48, -24.","createObject(type='sphere', color='green', location={x:-93, y:48, z:-24})"
"Create a red sphere at position 17, 96, -79.","createObject(type='sphere', color='red', location={x:17, y:96, z:-79})"
"Create a green cube at position -99, 56, -34.","createObject(type='cube', color='green', location={x:-99, y:56, z:-34})"
"Create a yellow sphere at position -27, -6, 76.","createObject(type='sphere', color='yellow', location={x:-27, y:-6, z:76})"
"Create a blue pyramid at position 94, -87, 11.","createObject(type='pyramid', color='blue', location={x:94, y:-87, z:11})"
"Create a blue cube at position -2, -43, 74.","createObject(type='cube', color='blue', location={x:-2, y:-43, z:74})"
"Create a red pyramid at position -54, 15, 45.","createObject(type='pyramid', color='red', location={x:-54, y:15, z:45})"
"Create a red pyramid at position 61, -95, 82.","createObject(type='pyramid', color='red', location={x:61, y:-95, z:82})"
"Create a green pyramid at position 29, 31, -33.","createObject(type='pyramid', color='green', location={x:29, y:31, z:-33})"
"Create a red pyramid at position 90, 1, -1.","createObject(type='pyramid', color='red', location={x:90, y:1, z:-1})"
"Create a yellow cube at position 18, 87, 43.","createObject(type='cube', color='yellow', location={x:18, y:87, z:43})"
"Create a green cube at position -96, -87, 72.","createObject(type='cube', color='green', location={x:-96, y:-87, z:72})"
"Create a yellow pyramid at position 3, -100, 30.","createObject(type='pyramid', color='yellow', location={x:3, y:-100, z:30})"
"Create a blue pyramid at position 42, 7, -4.","createObject(type='pyramid', color='blue', location={x:42, y:7, z:-4})"
"Create a yellow cube at position 38, 84, 75.","createObject(type='cube', color='yellow', location={x:38, y:84, z:75})"
"Create a green pyramid at position -19, -18, -79.","createObject(type='pyramid', color='green', location={x:-19, y:-18, z:-79})"
"Create a yellow sphere at position -30, 9, 42.","createObject(type='sphere', color='yellow', location={x:-30, y:9, z:42})"
"Create a blue sphere at position 81, 37, -49.","createObject(type='sphere', color='blue', location={x:81, y:37, z:-49})"
"Create a red sphere at position 85, -41, -94.","createObject(type='sphere', color='red', location={x:85, y:-41, z:-94})"
"Create a green sphere at position 40, 81, -23.","createObject(type='sphere', color='green', location={x:40, y:81, z:-23})"
"Create a red sphere at position -37, -84, -13.","createObject(type='sphere', color='red', location={x:-37, y:-84, z:-13})"
"Create a yellow sphere at position -15, 20, -73.","createObject(type='sphere', color='yellow', location={x:-15, y:20, z:-73})"
"Create a green cube at position -80, -53, 57.","createObject(type='cube', color='green', location={x:-80, y:-53, z:57})"
"Create a blue cube at position -57, 69, 46.","createObject(type='cube', color='blue', location={x:-57, y:69, z:46})"
"Create a green pyramid at position -96, 58, 67.","createObject(type='pyramid', color='green', location={x:-96, y:58, z:67})"
"Create a red cube at position 55, -14, -82.","createObject(type='cube', color='red', location={x:55, y:-14, z:-82})"
"Move the pyramid to position -46, -71, 45.","moveObject(target='pyramid', location={x:-46, y:-71, z:45})"
"Move the sphere to position 38, 56, -67.","moveObject(target='sphere', location={x:38, y:56, z:-67})"
"Move the pyramid to position -10, 63, 54.","moveObject(target='pyramid', location={x:-10, y:63, z:54})"
"Move the cube to position -94, 48, -66.","moveObject(target='cube', location={x:-94, y:48, z:-66})"
"Move the pyramid to position 81, -62, -39.","moveObject(target='pyramid', location={x:81, y:-62, z:-39})"
"Move the pyramid to position 81, 36, 47.","moveObject(target='pyramid', location={x:81, y:36, z:47})"
"Move the pyramid to position -86, -97, -96.","moveObject(target='pyramid', location={x:-86, y:-97, z:-96})"
"Move the pyramid to position 23, -3, -16.","moveObject(target='pyramid', location={x:23, y:-3, z:-16})"
"Move the cube to position 94, -18, 41.","moveObject(target='cube', location={x:94, y:-18, z:41})"
"Move the cube to position 95, 27, -32.","moveObject(target='cube', location={x:95, y:27, z:-32})"
"Move the cube to position -95, 82, 91.","moveObject(target='cube', location={x:-95, y:82, z:91})"
"Move the pyramid to position 73, 47, 65.","moveObject(target='pyramid', location={x:73, y:47, z:65})"
"Move the sphere to position -40, 85, -65.","moveObject(target='sphere', location={x:-40, y:85, z:-65})"
"Move the sphere to position 21, -50, 19.","moveObject(target='sphere', location={x:21, y:-50, z:19})"
"Move the pyramid to position -17, -25, -21.","moveObject(target='pyramid', location={x:-17, y:-25, z:-21})"
"Move the cube to position -20, -82, -26.","moveObject(target='cube', location={x:-20, y:-82, z:-26})"
"Move the sphere to position 100, -89, 37.","moveObject(target='sphere', location={x:100, y:-89, z:37})"
"Move the pyramid to position -28, 96, -92.","moveObject(target='pyramid', location={x:-28, y:96, z:-92})"
"Move the sphere to position -81, -93, 79.","moveObject(target='sphere', location={x:-81, y:-93, z:79})"
"Move the sphere to position -80, -91, -79.","moveObject(target='sphere', location={x:-80, y:-91, z:-79})"
"Move the pyramid to position -73, 83, -79.","moveObject(target='pyramid', location={x:-73, y:83, z:-79})"
"Move the pyramid to position 66, -11, -40.","moveObject(target='pyramid', location={x:66, y:-11, z:-40})"
"Move the pyramid to position -88, -72, -94.","moveObject(target='pyramid', location={x:-88, y:-72, z:-94})"
"Move the pyramid to position -9, 54, -30.","moveObject(target='pyramid', location={x:-9, y:54, z:-30})"
"Move the pyramid to position 5, 72, 61.","moveObject(target='pyramid', location={x:5, y:72, z:61})"
"Move the cube to position -76, 11, 47.","moveObject(target='cube', location={x:-76, y:11, z:47})"
"Move the pyramid to position -43, -85, 32.","moveObject(target='pyramid', location={x:-43, y:-85, z:32})"
"Move the sphere to position 75, -30, 9.","moveObject(target='sphere', location={x:75, y:-30, z:9})"
"Move the sphere to position 12, 39, 73.","moveObject(target='sphere', location={x:12, y:39, z:73})"
"Move the cube to position 90, 95, 42.","moveObject(target='cube', location={x:90, y:95, z:42})"
"Move the cube to position -2, 75, 37.","moveObject(target='cube', location={x:-2, y:75, z:37})"
"Move the cube to position 92, 21, 42.","moveObject(target='cube', location={x:92, y:21, z:42})"
"Move the cube to position 90, -88, -50.","moveObject(target='cube', location={x:90, y:-88, z:-50})"
"Move the cube to position 77, -22, -27.","moveObject(target='cube', location={x:77, y:-22, z:-27})"
"Move the sphere to position -86, -12, 75.","moveObject(target='sphere', location={x:-86, y:-12, z:75})"
"Move the cube to position -68, 78, -78.","moveObject(target='cube', location={x:-68, y:78, z:-78})"
"Move the cube to position 63, 89, 25.","moveObject(target='cube', location={x:63, y:89, z:25})"
"Move the cube to position 44, -91, -36.","moveObject(target='cube', location={x:44, y:-91, z:-36})"
"Move the pyramid to position 75, 19, -1.","moveObject(target='pyramid', location={x:75, y:19, z:-1})"
"Move the cube to position 1, -37, -71.","moveObject(target='cube', location={x:1, y:-37, z:-71})"
"Move the sphere to position 57, 38, -40.","moveObject(target='sphere', location={x:57, y:38, z:-40})"
"Move the pyramid to position -34, 72, -56.","moveObject(target='pyramid', location={x:-34, y:72, z:-56})"
"Move the sphere to position -59, 50, -61.","moveObject(target='sphere', location={x:-59, y:50, z:-61})"
"Move the sphere to position -98, -70, 11.","moveObject(target='sphere', location={x:-98, y:-70, z:11})"
"Move the sphere to position -20, 67, 81.","moveObject(target='sphere', location={x:-20, y:67, z:81})"
"Move the sphere to position -13, 70, -94.","moveObject(target='sphere', location={x:-13, y:70, z:-94})"
"Move the pyramid to position 31, -46, -51.","moveObject(target='pyramid', location={x:31, y:-46, z:-51})"
"Move the sphere to position -66, -67, -79.","moveObject(target='sphere', location={x:-66, y:-67, z:-79})"
"Move the pyramid to position -65, -22, -56.","moveObject(target='pyramid', location={x:-65, y:-22, z:-56})"
"Move the pyramid to position -87, 86, 97.","moveObject(target='pyramid', location={x:-87, y:86, z:97})"
"Move the cube to position 83, 66, 21.","moveObject(target='cube', location={x:83, y:66, z:21})"
"Move the pyramid to position -85, -15, 95.","moveObject(target='pyramid', location={x:-85, y:-15, z:95})"
"Move the sphere to position -79, -51, 9.","moveObject(target='sphere', location={x:-79, y:-51, z:9})"
"Move the pyramid to position -92, -34, -65.","moveObject(target='pyramid', location={x:-92, y:-34, z:-65})"
"Move the cube to position 90, -35, -57.","moveObject(target='cube', location={x:90, y:-35, z:-57})"
"Move the cube to position 76, -100, -75.","moveObject(target='cube', location={x:76, y:-100, z:-75})"
"Move the pyramid to position -52, -79, -71.","moveObject(target='pyramid', location={x:-52, y:-79, z:-71})"
"Move the cube to position 7, 48, 89.","moveObject(target='cube', location={x:7, y:48, z:89})"
"Move the cube to position -61, 89, -61.","moveObject(target='cube', location={x:-61, y:89, z:-61})"
"Move the sphere to position 38, -28, 12.","moveObject(target='sphere', location={x:38, y:-28, z:12})"
"Move the cube to position 60, -31, 53.","moveObject(target='cube', location={x:60, y:-31, z:53})"
"Move the sphere to position -7, -11, 51.","moveObject(target='sphere', location={x:-7, y:-11, z:51})"
"Move the cube to position -61, 15, -2.","moveObject(target='cube', location={x:-61, y:15, z:-2})"
"Move the sphere to position -49, 54, -77.","moveObject(target='sphere', location={x:-49, y:54, z:-77})"
"Move the pyramid to position 4, -8, -50.","moveObject(target='pyramid', location={x:4, y:-8, z:-50})"
"Move the pyramid to position -47, 37, 87.","moveObject(target='pyramid', location={x:-47, y:37, z:87})"
"Move the sphere to position 72, -17, -27.","moveObject(target='sphere', location={x:72, y:-17, z:-27})"
"Move the sphere to position -94, -59, 82.","moveObject(target='sphere', location={x:-94, y:-59, z:82})"
"Move the cube to position 37, 43, 66.","moveObject(target='cube', location={x:37, y:43, z:66})"
"Move the sphere to position 25, -65, -47.","moveObject(target='sphere', location={x:25, y:-65, z:-47})"
"Move the sphere to position 18, -30, 1.","moveObject(target='sphere', location={x:18, y:-30, z:1})"
"Move the pyramid to position -62, -44, -100.","moveObject(target='pyramid', location={x:-62, y:-44, z:-100})"
"Move the sphere to position 37, 38, 3.","moveObject(target='sphere', location={x:37, y:38, z:3})"
"Move the pyramid to position -87, 45, 67.","moveObject(target='pyramid', location={x:-87, y:45, z:67})"
"Move the cube to position -36, -37, 62.","moveObject(target='cube', location={x:-36, y:-37, z:62})"
"Move the cube to position -54, 46, -24.","moveObject(target='cube', location={x:-54, y:46, z:-24})"
"Move the sphere to position 75, 27, 29.","moveObject(target='sphere', location={x:75, y:27, z:29})"
"Move the pyramid to position 67, 76, -30.","moveObject(target='pyramid', location={x:67, y:76, z:-30})"
"Move the pyramid to position 5, 29, -98.","moveObject(target='pyramid', location={x:5, y:29, z:-98})"
"Move the pyramid to position 73, 12, -15.","moveObject(target='pyramid', location={x:73, y:12, z:-15})"
"Move the cube to position 80, 64, 15.","moveObject(target='cube', location={x:80, y:64, z:15})"
"Move the sphere to position 40, 14, -2.","moveObject(target='sphere', location={x:40, y:14, z:-2})"
"Move the pyramid to position -92, -11, 42.","moveObject(target='pyramid', location={x:-92, y:-11, z:42})"
"Move the pyramid to position 81, 30, 71.","moveObject(target='pyramid', location={x:81, y:30, z:71})"
"Move the pyramid to position -71, 53, -42.","moveObject(target='pyramid', location={x:-71, y:53, z:-42})"
"Move the sphere to position 25, 91, 81.","moveObject(target='sphere', location={x:25, y:91, z:81})"
"Move the sphere to position -7, -93, -97.","moveObject(target='sphere', location={x:-7, y:-93, z:-97})"
"Move the pyramid to position -44, 18, 91.","moveObject(target='pyramid', location={x:-44, y:18, z:91})"
"Move the pyramid to position 45, -72, 2.","moveObject(target='pyramid', location={x:45, y:-72, z:2})"
"Move the cube to position -71, -28, -95.","moveObject(target='cube', location={x:-71, y:-28, z:-95})"
"Move the sphere to position -56, -77, 60.","moveObject(target='sphere', location={x:-56, y:-77, z:60})"
"Move the cube to position 11, 34, 97.","moveObject(target='cube', location={x:11, y:34, z:97})"
"Move the sphere to position 24, 42, 37.","moveObject(target='sphere', location={x:24, y:42, z:37})"
"Move the cube to position 28, 60, 22.","moveObject(target='cube', location={x:28, y:60, z:22})"
"Move the pyramid to position 3, -55, 44.","moveObject(target='pyramid', location={x:3, y:-55, z:44})"
"Move the cube to position -68, -42, -74.","moveObject(target='cube', location={x:-68, y:-42, z:-74})"
"Move the cube to position 43, -64, -72.","moveObject(target='cube', location={x:43, y:-64, z:-72})"
"Move the cube to position -81, 7, -91.","moveObject(target='cube', location={x:-81, y:7, z:-91})"
"Move the cube to position 88, -40, -27.","moveObject(target='cube', location={x:88, y:-40, z:-27})"
"Move the pyramid to position 58, 92, 93.","moveObject(target='pyramid', location={x:58, y:92, z:93})"
"Rotate the pyramid by 54 degrees on the X-axis, 30 degrees on the Y-axis, and -52 degrees on the Z-axis.","rotateObject(target='pyramid', rotation={x:54, y:30, z:-52})"
"Rotate the cube by 56 degrees on the X-axis, -46 degrees on the Y-axis, and -16 degrees on the Z-axis.","rotateObject(target='cube', rotation={x:56, y:-46, z:-16})"
"Rotate the pyramid by 93 degrees on the X-axis, -26 degrees on the Y-axis, and -10 degrees on the Z-axis.","rotateObject(target='pyramid', rotation={x:93, y:-26, z:-10})"
"Rotate the cube by 15 degrees on the X-axis, 30 degrees on the Y-axis, and 97 degrees on the Z-axis.","rotateObject(target='cube', rotation={x:15, y:30, z:97})"
"Rotate the cube by 23 degrees on the X-axis, 60 degrees on the Y-axis, and -80 degrees on the Z-axis.","rotateObject(target='cube', rotation={x:23, y:60, z:-80})"
"Rotate the sphere by -26 degrees on the X-axis, -95 degrees on the Y-axis, and 85 degrees on the Z-axis.","rotateObject(target='sphere', rotation={x:-26, y:-95, z:85})"
"Rotate the sphere by 81 degrees on the X-axis, 78 degrees on the Y-axis, and -69 degrees on the Z-axis.","rotateObject(target='sphere', rotation={x:81, y:78, z:-69})"
"Rotate the pyramid by -2 degrees on the X-axis, 15 degrees on the Y-axis, and -81 degrees on the Z-axis.","rotateObject(target='pyramid', rotation={x:-2, y:15, z:-81})"
"Rotate the cube by 44 degrees on the X-axis, 32 degrees on the Y-axis, and -6 degrees on the Z-axis.","rotateObject(target='cube', rotation={x:44, y:32, z:-6})"
"Rotate the sphere by 9 degrees on the X-axis, 46 degrees on the Y-axis, and 87 degrees on the Z-axis.","rotateObject(target='sphere', rotation={x:9, y:46, z:87})"
"Rotate the sphere by -80 degrees on the X-axis, -98 degrees on the Y-axis, and 76 degrees on the Z-axis.","rotateObject(target='sphere', rotation={x:-80, y:-98, z:76})"
"Rotate the cube by 35 degrees on the X-axis, -67 degrees on the Y-axis, and 77 degrees on the Z-axis.","rotateObject(target='cube', rotation={x:35, y:-67, z:77})"
"Rotate the cube by 31 degrees on the X-axis, 94 degrees on the Y-axis, and 76 degrees on the Z-axis.","rotateObject(target='cube', rotation={x:31, y:94, z:76})"
"Rotate the sphere by 97 degrees on the X-axis, 61 degrees on the Y-axis, and 81 degrees on the Z-axis.","rotateObject(target='sphere', rotation={x:97, y:61, z:81})"
"Rotate the pyramid by -24 degrees on the X-axis, -22 degrees on the Y-axis, and 88 degrees on the Z-axis.","rotateObject(target='pyramid', rotation={x:-24, y:-22, z:88})"
"Rotate the sphere by 82 degrees on the X-axis, 64 degrees on the Y-axis, and 44 degrees on the Z-axis.","rotateObject(target='sphere', rotation={x:82, y:64, z:44})"
"Rotate the sphere by -25 degrees on the X-axis, -48 degrees on the Y-axis, and 43 degrees on the Z-axis.","rotateObject(target='sphere', rotation={x:-25, y:-48, z:43})"
"Rotate the sphere by 96 degrees on the X-axis, 0 degrees on the Y-axis, and -23 degrees on the Z-axis.","rotateObject(target='sphere', rotation={x:96, y:0, z:-23})"
"Rotate the sphere by -98 degrees on the X-axis, -90 degrees on the Y-axis, and 88 degrees on the Z-axis.","rotateObject(target='sphere', rotation={x:-98, y:-90, z:88})"
"Rotate the cube by 11 degrees on the X-axis, 62 degrees on the Y-axis, and 51 degrees on the Z-axis.","rotateObject(target='cube', rotation={x:11, y:62, z:51})"
"Rotate the pyramid by 98 degrees on the X-axis, -39 degrees on the Y-axis, and -93 degrees on the Z-axis.","rotateObject(target='pyramid', rotation={x:98, y:-39, z:-93})"
"Rotate the cube by 70 degrees on the X-axis, 11 degrees on the Y-axis, and 83 degrees on the Z-axis.","rotateObject(target='cube', rotation={x:70, y:11, z:83})"
"Rotate the cube by 100 degrees on the X-axis, 92 degrees on the Y-axis, and 18 degrees on the Z-axis.","rotateObject(target='cube', rotation={x:100, y:92, z:18})"
"Rotate the pyramid by -71 degrees on the X-axis, -60 degrees on the Y-axis, and 43 degrees on the Z-axis.","rotateObject(target='pyramid', rotation={x:-71, y:-60, z:43})"
"Rotate the cube by -9 degrees on the X-axis, 37 degrees on the Y-axis, and -26 degrees on the Z-axis.","rotateObject(target='cube', rotation={x:-9, y:37, z:-26})"
"Rotate the sphere by 9 degrees on the X-axis, -83 degrees on the Y-axis, and 68 degrees on the Z-axis.","rotateObject(target='sphere', rotation={x:9, y:-83, z:68})"
"Rotate the cube by -97 degrees on the X-axis, 0 degrees on the Y-axis, and 5 degrees on the Z-axis.","rotateObject(target='cube', rotation={x:-97, y:0, z:5})"
"Rotate the pyramid by 35 degrees on the X-axis, 98 degrees on the Y-axis, and 60 degrees on the Z-axis.","rotateObject(target='pyramid', rotation={x:35, y:98, z:60})"
"Rotate the sphere by 35 degrees on the X-axis, -65 degrees on the Y-axis, and -92 degrees on the Z-axis.","rotateObject(target='sphere', rotation={x:35, y:-65, z:-92})"
"Rotate the pyramid by 35 degrees on the X-axis, 45 degrees on the Y-axis, and -37 degrees on the Z-axis.","rotateObject(target='pyramid', rotation={x:35, y:45, z:-37})"
"Rotate the cube by 37 degrees on the X-axis, 3 degrees on the Y-axis, and -77 degrees on the Z-axis.","rotateObject(target='cube', rotation={x:37, y:3, z:-77})"
"Rotate the sphere by -81 degrees on the X-axis, 87 degrees on the Y-axis, and 36 degrees on the Z-axis.","rotateObject(target='sphere', rotation={x:-81, y:87, z:36})"
"Rotate the cube by 4 degrees on the X-axis, -94 degrees on the Y-axis, and -20 degrees on the Z-axis.","rotateObject(target='cube', rotation={x:4, y:-94, z:-20})"
"Rotate the cube by 59 degrees on the X-axis, -6 degrees on the Y-axis, and 72 degrees on the Z-axis.","rotateObject(target='cube', rotation={x:59, y:-6, z:72})"
"Rotate the cube by 60 degrees on the X-axis, 73 degrees on the Y-axis, and 16 degrees on the Z-axis.","rotateObject(target='cube', rotation={x:60, y:73, z:16})"
"Rotate the cube by 12 degrees on the X-axis, -78 degrees on the Y-axis, and -50 degrees on the Z-axis.","rotateObject(target='cube', rotation={x:12, y:-78, z:-50})"
"Rotate the sphere by -50 degrees on the X-axis, -75 degrees on the Y-axis, and -92 degrees on the Z-axis.","rotateObject(target='sphere', rotation={x:-50, y:-75, z:-92})"
"Rotate the sphere by 53 degrees on the X-axis, 83 degrees on the Y-axis, and -4 degrees on the Z-axis.","rotateObject(target='sphere', rotation={x:53, y:83, z:-4})"
"Rotate the pyramid by 54 degrees on the X-axis, 95 degrees on the Y-axis, and -52 degrees on the Z-axis.","rotateObject(target='pyramid', rotation={x:54, y:95, z:-52})"
"Rotate the pyramid by -36 degrees on the X-axis, 40 degrees on the Y-axis, and -44 degrees on the Z-axis.","rotateObject(target='pyramid', rotation={x:-36, y:40, z:-44})"
"Rotate the sphere by -35 degrees on the X-axis, -86 degrees on the Y-axis, and -77 degrees on the Z-axis.","rotateObject(target='sphere', rotation={x:-35, y:-86, z:-77})"
"Rotate the sphere by 47 degrees on the X-axis, -41 degrees on the Y-axis, and 36 degrees on the Z-axis.","rotateObject(target='sphere', rotation={x:47, y:-41, z:36})"
"Rotate the pyramid by -76 degrees on the X-axis, 40 degrees on the Y-axis, and -92 degrees on the Z-axis.","rotateObject(target='pyramid', rotation={x:-76, y:40, z:-92})"
"Rotate the pyramid by 84 degrees on the X-axis, -38 degrees on the Y-axis, and 1 degrees on the Z-axis.","rotateObject(target='pyramid', rotation={x:84, y:-38, z:1})"
"Rotate the cube by 93 degrees on the X-axis, 14 degrees on the Y-axis, and 7 degrees on the Z-axis.","rotateObject(target='cube', rotation={x:93, y:14, z:7})"
"Rotate the sphere by 31 degrees on the X-axis, -34 degrees on the Y-axis, and 66 degrees on the Z-axis.","rotateObject(target='sphere', rotation={x:31, y:-34, z:66})"
