input,output
Create a blue sphere at 13 -91 -14,"createObject(type='sphere', color='blue', location={x:13, y:-91, z:-14})"
Create a blue pyramid at -21 55 12,"createObject(type='pyramid', color='blue', location={x:-21, y:55, z:12})"
Create a red sphere at -63 31 -4,"createObject(type='sphere', color='red', location={x:-63, y:31, z:-4})"
Create a yellow pyramid at 18 -65 -63,"createObject(type='pyramid', color='yellow', location={x:18, y:-65, z:-63})"
Create a blue cube at 90 -61 -50,"createObject(type='cube', color='blue', location={x:90, y:-61, z:-50})"
Create a green pyramid at -92 -55 -65,"createObject(type='pyramid', color='green', location={x:-92, y:-55, z:-65})"
Create a green cube at -9 79 1,"createObject(type='cube', color='green', location={x:-9, y:79, z:1})"
Create a green sphere at 86 30 -17,"createObject(type='sphere', color='green', location={x:86, y:30, z:-17})"
Create a red sphere at 26 2 98,"createObject(type='sphere', color='red', location={x:26, y:2, z:98})"
Create a red cube at -46 -76 53,"createObject(type='cube', color='red', location={x:-46, y:-76, z:53})"
Create a red sphere at 72 -91 95,"createObject(type='sphere', color='red', location={x:72, y:-91, z:95})"
Create a yellow pyramid at -51 43 -54,"createObject(type='pyramid', color='yellow', location={x:-51, y:43, z:-54})"
Create a yellow cube at 68 -81 -22,"createObject(type='cube', color='yellow', location={x:68, y:-81, z:-22})"
Create a blue sphere at 94 -81 -48,"createObject(type='sphere', color='blue', location={x:94, y:-81, z:-48})"
Create a blue pyramid at 28 0 -85,"createObject(type='pyramid', color='blue', location={x:28, y:0, z:-85})"
Create a red pyramid at -91 85 -17,"createObject(type='pyramid', color='red', location={x:-91, y:85, z:-17})"
Create a yellow pyramid at -30 62 -87,"createObject(type='pyramid', color='yellow', location={x:-30, y:62, z:-87})"
Create a yellow sphere at -37 -24 80,"createObject(type='sphere', color='yellow', location={x:-37, y:-24, z:80})"
Create a yellow cube at -1 18 -63,"createObject(type='cube', color='yellow', location={x:-1, y:18, z:-63})"
Create a blue cube at 81 0 44,"createObject(type='cube', color='blue', location={x:81, y:0, z:44})"
Create a blue pyramid at 94 95 86,"createObject(type='pyramid', color='blue', location={x:94, y:95, z:86})"
Create a blue sphere at -84 67 89,"createObject(type='sphere', color='blue', location={x:-84, y:67, z:89})"
Create a green pyramid at -57 -54 90,"createObject(type='pyramid', color='green', location={x:-57, y:-54, z:90})"
Create a green pyramid at -11 -50 -61,"createObject(type='pyramid', color='green', location={x:-11, y:-50, z:-61})"
Create a green cube at 46 -1 32,"createObject(type='cube', color='green', location={x:46, y:-1, z:32})"
Create a yellow cube at 90 85 69,"createObject(type='cube', color='yellow', location={x:90, y:85, z:69})"
Create a blue sphere at 58 43 -29,"createObject(type='sphere', color='blue', location={x:58, y:43, z:-29})"
Create a yellow pyramid at -99 -4 -57,"createObject(type='pyramid', color='yellow', location={x:-99, y:-4, z:-57})"
Create a green sphere at 2 -65 -43,"createObject(type='sphere', color='green', location={x:2, y:-65, z:-43})"
Create a green pyramid at 7 4 -29,"createObject(type='pyramid', color='green', location={x:7, y:4, z:-29})"
Create a red sphere at 13 16 38,"createObject(type='sphere', color='red', location={x:13, y:16, z:38})"
Create a blue cube at -22 -67 -32,"createObject(type='cube', color='blue', location={x:-22, y:-67, z:-32})"
Create a blue sphere at 2 -20 -55,"createObject(type='sphere', color='blue', location={x:2, y:-20, z:-55})"
Create a blue sphere at -61 -88 -14,"createObject(type='sphere', color='blue', location={x:-61, y:-88, z:-14})"
Create a red sphere at -75 -50 20,"createObject(type='sphere', color='red', location={x:-75, y:-50, z:20})"
Create a green pyramid at 37 -18 -68,"createObject(type='pyramid', color='green', location={x:37, y:-18, z:-68})"
Create a yellow cube at 5 -26 21,"createObject(type='cube', color='yellow', location={x:5, y:-26, z:21})"
Create a yellow pyramid at 13 76 77,"createObject(type='pyramid', color='yellow', location={x:13, y:76, z:77})"
Create a green pyramid at 14 63 -63,"createObject(type='pyramid', color='green', location={x:14, y:63, z:-63})"
Create a yellow sphere at -17 23 80,"createObject(type='sphere', color='yellow', location={x:-17, y:23, z:80})"
Create a yellow sphere at 48 97 57,"createObject(type='sphere', color='yellow', location={x:48, y:97, z:57})"
Create a blue cube at -31 -62 -98,"createObject(type='cube', color='blue', location={x:-31, y:-62, z:-98})"
Create a green sphere at -38 -49 76,"createObject(type='sphere', color='green', location={x:-38, y:-49, z:76})"
Create a red sphere at 26 35 -81,"createObject(type='sphere', color='red', location={x:26, y:35, z:-81})"
Create a red sphere at -79 14 8,"createObject(type='sphere', color='red', location={x:-79, y:14, z:8})"
Create a yellow pyramid at 51 0 49,"createObject(type='pyramid', color='yellow', location={x:51, y:0, z:49})"
Create a yellow cube at -1 27 -16,"createObject(type='cube', color='yellow', location={x:-1, y:27, z:-16})"
Create a green pyramid at -93 -64 71,"createObject(type='pyramid', color='green', location={x:-93, y:-64, z:71})"
Create a blue sphere at 87 80 34,"createObject(type='sphere', color='blue', location={x:87, y:80, z:34})"
Create a green cube at -51 -44 -68,"createObject(type='cube', color='green', location={x:-51, y:-44, z:-68})"
Create a green sphere at 65 64 27,"createObject(type='sphere', color='green', location={x:65, y:64, z:27})"
Create a red pyramid at -43 17 19,"createObject(type='pyramid', color='red', location={x:-43, y:17, z:19})"
Create a red sphere at 95 21 -100,"createObject(type='sphere', color='red', location={x:95, y:21, z:-100})"
Create a blue cube at -73 -70 -52,"createObject(type='cube', color='blue', location={x:-73, y:-70, z:-52})"
Create a green sphere at 52 -4 29,"createObject(type='sphere', color='green', location={x:52, y:-4, z:29})"
Create a red sphere at 88 -51 -2,"createObject(type='sphere', color='red', location={x:88, y:-51, z:-2})"
Create a red sphere at 92 -85 -66,"createObject(type='sphere', color='red', location={x:92, y:-85, z:-66})"
Create a blue sphere at 86 73 76,"createObject(type='sphere', color='blue', location={x:86, y:73, z:76})"
Create a red cube at 1 -20 21,"createObject(type='cube', color='red', location={x:1, y:-20, z:21})"
Create a red pyramid at 10 -50 43,"createObject(type='pyramid', color='red', location={x:10, y:-50, z:43})"
Create a red sphere at 90 -21 35,"createObject(type='sphere', color='red', location={x:90, y:-21, z:35})"
Create a green sphere at -54 46 44,"createObject(type='sphere', color='green', location={x:-54, y:46, z:44})"
Create a yellow pyramid at -36 -17 69,"createObject(type='pyramid', color='yellow', location={x:-36, y:-17, z:69})"
Create a yellow cube at -16 25 -6,"createObject(type='cube', color='yellow', location={x:-16, y:25, z:-6})"
Create a red sphere at -42 68 -85,"createObject(type='sphere', color='red', location={x:-42, y:68, z:-85})"
Create a green cube at -22 -22 84,"createObject(type='cube', color='green', location={x:-22, y:-22, z:84})"
Create a red cube at 15 -24 78,"createObject(type='cube', color='red', location={x:15, y:-24, z:78})"
Create a yellow sphere at -89 1 45,"createObject(type='sphere', color='yellow', location={x:-89, y:1, z:45})"
Create a blue cube at -35 -42 19,"createObject(type='cube', color='blue', location={x:-35, y:-42, z:19})"
Move sphere to 24 65 12,"moveObject(target='sphere', location={x:24, y:65, z:12})"
Move cube to 99 -96 -43,"moveObject(target='cube', location={x:99, y:-96, z:-43})"
Move pyramid to -27 100 -84,"moveObject(target='pyramid', location={x:-27, y:100, z:-84})"
Move sphere to 77 48 75,"moveObject(target='sphere', location={x:77, y:48, z:75})"
Move sphere to 42 58 -10,"moveObject(target='sphere', location={x:42, y:58, z:-10})"
Move cube to -86 -3 -34,"moveObject(target='cube', location={x:-86, y:-3, z:-34})"
Move sphere to -23 50 39,"moveObject(target='sphere', location={x:-23, y:50, z:39})"
Move sphere to -77 -26 42,"moveObject(target='sphere', location={x:-77, y:-26, z:42})"
Move pyramid to 25 40 -8,"moveObject(target='pyramid', location={x:25, y:40, z:-8})"
Move cube to -67 13 -39,"moveObject(target='cube', location={x:-67, y:13, z:-39})"
Move pyramid to -82 -56 -18,"moveObject(target='pyramid', location={x:-82, y:-56, z:-18})"
Move sphere to 59 -61 8,"moveObject(target='sphere', location={x:59, y:-61, z:8})"
Move cube to 13 -81 52,"moveObject(target='cube', location={x:13, y:-81, z:52})"
Move cube to 9 -60 -1,"moveObject(target='cube', location={x:9, y:-60, z:-1})"
Move pyramid to 61 -77 12,"moveObject(target='pyramid', location={x:61, y:-77, z:12})"
Move sphere to -4 -35 64,"moveObject(target='sphere', location={x:-4, y:-35, z:64})"
Move pyramid to 93 -89 2,"moveObject(target='pyramid', location={x:93, y:-89, z:2})"
Move cube to -23 62 -65,"moveObject(target='cube', location={x:-23, y:62, z:-65})"
Move pyramid to 39 -48 -12,"moveObject(target='pyramid', location={x:39, y:-48, z:-12})"
Move sphere to -80 -52 79,"moveObject(target='sphere', location={x:-80, y:-52, z:79})"
Move sphere to -11 8 27,"moveObject(target='sphere', location={x:-11, y:8, z:27})"
Move pyramid to 69 9 -19,"moveObject(target='pyramid', location={x:69, y:9, z:-19})"
Move sphere to 46 22 22,"moveObject(target='sphere', location={x:46, y:22, z:22})"
Move cube to -28 1 -57,"moveObject(target='cube', location={x:-28, y:1, z:-57})"
Move sphere to 1 -12 -70,"moveObject(target='sphere', location={x:1, y:-12, z:-70})"
Move sphere to 83 51 6,"moveObject(target='sphere', location={x:83, y:51, z:6})"
Move sphere to -31 50 31,"moveObject(target='sphere', location={x:-31, y:50, z:31})"
Move pyramid to -69 1 -68,"moveObject(target='pyramid', location={x:-69, y:1, z:-68})"
Move cube to 66 -56 76,"moveObject(target='cube', location={x:66, y:-56, z:76})"
Move sphere to -29 -33 -67,"moveObject(target='sphere', location={x:-29, y:-33, z:-67})"
Move cube to 64 73 -7,"moveObject(target='cube', location={x:64, y:73, z:-7})"
Move sphere to 91 92 54,"moveObject(target='sphere', location={x:91, y:92, z:54})"
Move sphere to -64 -99 95,"moveObject(target='sphere', location={x:-64, y:-99, z:95})"
Move cube to 36 -91 48,"moveObject(target='cube', location={x:36, y:-91, z:48})"
Move cube to 48 69 97,"moveObject(target='cube', location={x:48, y:69, z:97})"
Move cube to 87 58 69,"moveObject(target='cube', location={x:87, y:58, z:69})"
Move pyramid to -98 59 -97,"moveObject(target='pyramid', location={x:-98, y:59, z:-97})"
Move cube to 76 -1 -61,"moveObject(target='cube', location={x:76, y:-1, z:-61})"
Move sphere to 90 -16 11,"moveObject(target='sphere', location={x:90, y:-16, z:11})"
Move cube to -1 -31 61,"moveObject(target='cube', location={x:-1, y:-31, z:61})"
Move sphere to 36 -80 43,"moveObject(target='sphere', location={x:36, y:-80, z:43})"
Move cube to -36 62 -84,"moveObject(target='cube', location={x:-36, y:62, z:-84})"
Move pyramid to -95 75 -32,"moveObject(target='pyramid', location={x:-95, y:75, z:-32})"
Move cube to 10 28 2,"moveObject(target='cube', location={x:10, y:28, z:2})"
Move cube to 12 20 50,"moveObject(target='cube', location={x:12, y:20, z:50})"
Move sphere to -11 67 -23,"moveObject(target='sphere', location={x:-11, y:67, z:-23})"
Move cube to 94 76 34,"moveObject(target='cube', location={x:94, y:76, z:34})"
Move sphere to -94 -19 28,"moveObject(target='sphere', location={x:-94, y:-19, z:28})"
Move sphere to 83 79 -47,"moveObject(target='sphere', location={x:83, y:79, z:-47})"
Move cube to -76 -5 23,"moveObject(target='cube', location={x:-76, y:-5, z:23})"
Move cube to -38 -40 90,"moveObject(target='cube', location={x:-38, y:-40, z:90})"
Move sphere to -87 25 77,"moveObject(target='sphere', location={x:-87, y:25, z:77})"
Move pyramid to 91 -41 87,"moveObject(target='pyramid', location={x:91, y:-41, z:87})"
Move sphere to -72 -19 0,"moveObject(target='sphere', location={x:-72, y:-19, z:0})"
Move pyramid to 84 -67 22,"moveObject(target='pyramid', location={x:84, y:-67, z:22})"
Move pyramid to -18 -27 59,"moveObject(target='pyramid', location={x:-18, y:-27, z:59})"
Move sphere to 8 -53 -64,"moveObject(target='sphere', location={x:8, y:-53, z:-64})"
Move sphere to 11 -70 -87,"moveObject(target='sphere', location={x:11, y:-70, z:-87})"
Move pyramid to -45 -15 95,"moveObject(target='pyramid', location={x:-45, y:-15, z:95})"
Move pyramid to -5 86 27,"moveObject(target='pyramid', location={x:-5, y:86, z:27})"
Move sphere to -47 -46 35,"moveObject(target='sphere', location={x:-47, y:-46, z:35})"
Move sphere to 14 24 -32,"moveObject(target='sphere', location={x:14, y:24, z:-32})"
Move pyramid to -7 -29 -15,"moveObject(target='pyramid', location={x:-7, y:-29, z:-15})"
Move pyramid to -51 -37 -67,"moveObject(target='pyramid', location={x:-51, y:-37, z:-67})"
Move cube to 98 -23 44,"moveObject(target='cube', location={x:98, y:-23, z:44})"
Move sphere to -10 -16 -70,"moveObject(target='sphere', location={x:-10, y:-16, z:-70})"
Move sphere to -86 23 4,"moveObject(target='sphere', location={x:-86, y:23, z:4})"
Move pyramid to -7 41 -99,"moveObject(target='pyramid', location={x:-7, y:41, z:-99})"
Move pyramid to -81 -13 72,"moveObject(target='pyramid', location={x:-81, y:-13, z:72})"
Move sphere to -60 49 7,"moveObject(target='sphere', location={x:-60, y:49, z:7})"
Move sphere to -48 46 -29,"moveObject(target='sphere', location={x:-48, y:46, z:-29})"
Move pyramid to -49 -15 56,"moveObject(target='pyramid', location={x:-49, y:-15, z:56})"
Move sphere to 5 1 -50,"moveObject(target='sphere', location={x:5, y:1, z:-50})"
Move pyramid to -14 13 -64,"moveObject(target='pyramid', location={x:-14, y:13, z:-64})"
Move cube to 67 -83 96,"moveObject(target='cube', location={x:67, y:-83, z:96})"
Move pyramid to 50 -76 -47,"moveObject(target='pyramid', location={x:50, y:-76, z:-47})"
Move cube to 44 42 68,"moveObject(target='cube', location={x:44, y:42, z:68})"
Move sphere to -89 -10 -93,"moveObject(target='sphere', location={x:-89, y:-10, z:-93})"
Move pyramid to 2 -97 -21,"moveObject(target='pyramid', location={x:2, y:-97, z:-21})"
Move cube to 25 -78 -89,"moveObject(target='cube', location={x:25, y:-78, z:-89})"
Move cube to -15 -56 28,"moveObject(target='cube', location={x:-15, y:-56, z:28})"
Move cube to 76 -10 2,"moveObject(target='cube', location={x:76, y:-10, z:2})"
Move cube to 77 45 -10,"moveObject(target='cube', location={x:77, y:45, z:-10})"
Move cube to -14 -29 76,"moveObject(target='cube', location={x:-14, y:-29, z:76})"
Move cube to -91 -50 -14,"moveObject(target='cube', location={x:-91, y:-50, z:-14})"
Move pyramid to 90 -5 -33,"moveObject(target='pyramid', location={x:90, y:-5, z:-33})"
Move sphere to 21 -50 -22,"moveObject(target='sphere', location={x:21, y:-50, z:-22})"
Move pyramid to 21 -96 -1,"moveObject(target='pyramid', location={x:21, y:-96, z:-1})"
Move cube to -36 -33 -72,"moveObject(target='cube', location={x:-36, y:-33, z:-72})"
Move cube to -34 34 86,"moveObject(target='cube', location={x:-34, y:34, z:86})"
Move pyramid to -21 65 -77,"moveObject(target='pyramid', location={x:-21, y:65, z:-77})"
Move sphere to 2 46 14,"moveObject(target='sphere', location={x:2, y:46, z:14})"
Move sphere to -25 27 -98,"moveObject(target='sphere', location={x:-25, y:27, z:-98})"
Move pyramid to -33 -24 66,"moveObject(target='pyramid', location={x:-33, y:-24, z:66})"
Move cube to 23 -63 94,"moveObject(target='cube', location={x:23, y:-63, z:94})"
Move pyramid to 29 63 47,"moveObject(target='pyramid', location={x:29, y:63, z:47})"
Move sphere to 60 -55 -1,"moveObject(target='sphere', location={x:60, y:-55, z:-1})"
Move pyramid to -39 77 -27,"moveObject(target='pyramid', location={x:-39, y:77, z:-27})"
Move sphere to -32 97 37,"moveObject(target='sphere', location={x:-32, y:97, z:37})"
Move pyramid to -17 -92 52,"moveObject(target='pyramid', location={x:-17, y:-92, z:52})"
Rotate pyramid by 168 degrees on X axis,"rotateObject(target='pyramid', rotation={x:168, y:0, z:0})"
Rotate pyramid by 27 degrees on Z axis,"rotateObject(target='pyramid', rotation={x:0, y:0, z:27})"
Rotate sphere by 222 degrees on X axis,"rotateObject(target='sphere', rotation={x:222, y:0, z:0})"
Rotate pyramid by 9 degrees on Z axis,"rotateObject(target='pyramid', rotation={x:0, y:0, z:9})"
Rotate pyramid by 359 degrees on X axis,"rotateObject(target='pyramid', rotation={x:359, y:0, z:0})"
Rotate sphere by 356 degrees on Z axis,"rotateObject(target='sphere', rotation={x:0, y:0, z:356})"
Rotate sphere by 326 degrees on Z axis,"rotateObject(target='sphere', rotation={x:0, y:0, z:326})"
Rotate sphere by 140 degrees on X axis,"rotateObject(target='sphere', rotation={x:140, y:0, z:0})"
Rotate cube by 101 degrees on Z axis,"rotateObject(target='cube', rotation={x:0, y:0, z:101})"
Rotate sphere by 174 degrees on Z axis,"rotateObject(target='sphere', rotation={x:0, y:0, z:174})"
Rotate cube by 239 degrees on Z axis,"rotateObject(target='cube', rotation={x:0, y:0, z:239})"
Rotate pyramid by 119 degrees on Y axis,"rotateObject(target='pyramid', rotation={x:0, y:119, z:0})"
Rotate sphere by 190 degrees on Z axis,"rotateObject(target='sphere', rotation={x:0, y:0, z:190})"
Rotate pyramid by 357 degrees on Y axis,"rotateObject(target='pyramid', rotation={x:0, y:357, z:0})"
Rotate sphere by 36 degrees on X axis,"rotateObject(target='sphere', rotation={x:36, y:0, z:0})"
Rotate pyramid by 40 degrees on Y axis,"rotateObject(target='pyramid', rotation={x:0, y:40, z:0})"
Rotate pyramid by 277 degrees on Z axis,"rotateObject(target='pyramid', rotation={x:0, y:0, z:277})"
Rotate pyramid by 127 degrees on Z axis,"rotateObject(target='pyramid', rotation={x:0, y:0, z:127})"
Rotate sphere by 210 degrees on X axis,"rotateObject(target='sphere', rotation={x:210, y:0, z:0})"
Rotate sphere by 23 degrees on Z axis,"rotateObject(target='sphere', rotation={x:0, y:0, z:23})"
Rotate cube by 199 degrees on Z axis,"rotateObject(target='cube', rotation={x:0, y:0, z:199})"
Rotate cube by 313 degrees on Y axis,"rotateObject(target='cube', rotation={x:0, y:313, z:0})"
Rotate sphere by 17 degrees on X axis,"rotateObject(target='sphere', rotation={x:17, y:0, z:0})"
Rotate pyramid by 53 degrees on Z axis,"rotateObject(target='pyramid', rotation={x:0, y:0, z:53})"
Rotate pyramid by 350 degrees on Y axis,"rotateObject(target='pyramid', rotation={x:0, y:350, z:0})"
Rotate pyramid by 319 degrees on X axis,"rotateObject(target='pyramid', rotation={x:319, y:0, z:0})"
Rotate pyramid by 323 degrees on Y axis,"rotateObject(target='pyramid', rotation={x:0, y:323, z:0})"
Rotate cube by 331 degrees on Z axis,"rotateObject(target='cube', rotation={x:0, y:0, z:331})"
Rotate pyramid by 71 degrees on Y axis,"rotateObject(target='pyramid', rotation={x:0, y:71, z:0})"
Rotate sphere by 90 degrees on X axis,"rotateObject(target='sphere', rotation={x:90, y:0, z:0})"
Rotate cube by 183 degrees on Z axis,"rotateObject(target='cube', rotation={x:0, y:0, z:183})"
Rotate cube by 183 degrees on Y axis,"rotateObject(target='cube', rotation={x:0, y:183, z:0})"
Rotate sphere by 295 degrees on X axis,"rotateObject(target='sphere', rotation={x:295, y:0, z:0})"
Rotate cube by 189 degrees on Z axis,"rotateObject(target='cube', rotation={x:0, y:0, z:189})"
Rotate sphere by 315 degrees on X axis,"rotateObject(target='sphere', rotation={x:315, y:0, z:0})"
Rotate pyramid by 74 degrees on X axis,"rotateObject(target='pyramid', rotation={x:74, y:0, z:0})"
Rotate pyramid by 301 degrees on Z axis,"rotateObject(target='pyramid', rotation={x:0, y:0, z:301})"
Rotate cube by 235 degrees on Z axis,"rotateObject(target='cube', rotation={x:0, y:0, z:235})"
Rotate cube by 156 degrees on Z axis,"rotateObject(target='cube', rotation={x:0, y:0, z:156})"
Rotate sphere by 344 degrees on X axis,"rotateObject(target='sphere', rotation={x:344, y:0, z:0})"
Rotate pyramid by 191 degrees on X axis,"rotateObject(target='pyramid', rotation={x:191, y:0, z:0})"
Rotate sphere by 280 degrees on X axis,"rotateObject(target='sphere', rotation={x:280, y:0, z:0})"
Rotate sphere by 204 degrees on Y axis,"rotateObject(target='sphere', rotation={x:0, y:204, z:0})"
Rotate cube by 298 degrees on Z axis,"rotateObject(target='cube', rotation={x:0, y:0, z:298})"
Rotate pyramid by 130 degrees on Y axis,"rotateObject(target='pyramid', rotation={x:0, y:130, z:0})"
Rotate cube by 228 degrees on Y axis,"rotateObject(target='cube', rotation={x:0, y:228, z:0})"
Rotate cube by 259 degrees on X axis,"rotateObject(target='cube', rotation={x:259, y:0, z:0})"
Rotate sphere by 194 degrees on Y axis,"rotateObject(target='sphere', rotation={x:0, y:194, z:0})"
Rotate cube by 278 degrees on X axis,"rotateObject(target='cube', rotation={x:278, y:0, z:0})"
Rotate sphere by 229 degrees on X axis,"rotateObject(target='sphere', rotation={x:229, y:0, z:0})"
Rotate sphere by 261 degrees on Z axis,"rotateObject(target='sphere', rotation={x:0, y:0, z:261})"
Rotate cube by 40 degrees on Z axis,"rotateObject(target='cube', rotation={x:0, y:0, z:40})"
Rotate pyramid by 223 degrees on Z axis,"rotateObject(target='pyramid', rotation={x:0, y:0, z:223})"
Rotate sphere by 327 degrees on Z axis,"rotateObject(target='sphere', rotation={x:0, y:0, z:327})"
Rotate pyramid by 282 degrees on Z axis,"rotateObject(target='pyramid', rotation={x:0, y:0, z:282})"
Rotate cube by 93 degrees on Y axis,"rotateObject(target='cube', rotation={x:0, y:93, z:0})"
Rotate cube by 206 degrees on X axis,"rotateObject(target='cube', rotation={x:206, y:0, z:0})"
Rotate pyramid by 75 degrees on Z axis,"rotateObject(target='pyramid', rotation={x:0, y:0, z:75})"
Rotate cube by 330 degrees on Z axis,"rotateObject(target='cube', rotation={x:0, y:0, z:330})"
Rotate cube by 146 degrees on Z axis,"rotateObject(target='cube', rotation={x:0, y:0, z:146})"
Rotate cube by 48 degrees on Y axis,"rotateObject(target='cube', rotation={x:0, y:48, z:0})"
Rotate cube by 294 degrees on X axis,"rotateObject(target='cube', rotation={x:294, y:0, z:0})"
Rotate sphere by 120 degrees on X axis,"rotateObject(target='sphere', rotation={x:120, y:0, z:0})"
Rotate cube by 227 degrees on X axis,"rotateObject(target='cube', rotation={x:227, y:0, z:0})"
Rotate pyramid by 286 degrees on X axis,"rotateObject(target='pyramid', rotation={x:286, y:0, z:0})"
Rotate sphere by 275 degrees on X axis,"rotateObject(target='sphere', rotation={x:275, y:0, z:0})"
Rotate pyramid by 348 degrees on Y axis,"rotateObject(target='pyramid', rotation={x:0, y:348, z:0})"
Rotate pyramid by 12 degrees on Y axis,"rotateObject(target='pyramid', rotation={x:0, y:12, z:0})"
Rotate pyramid by 280 degrees on X axis,"rotateObject(target='pyramid', rotation={x:280, y:0, z:0})"
Rotate cube by 325 degrees on Z axis,"rotateObject(target='cube', rotation={x:0, y:0, z:325})"
Rotate pyramid by 35 degrees on X axis,"rotateObject(target='pyramid', rotation={x:35, y:0, z:0})"
Rotate sphere by 237 degrees on Y axis,"rotateObject(target='sphere', rotation={x:0, y:237, z:0})"
Rotate sphere by 225 degrees on X axis,"rotateObject(target='sphere', rotation={x:225, y:0, z:0})"
Rotate pyramid by 88 degrees on Z axis,"rotateObject(target='pyramid', rotation={x:0, y:0, z:88})"
Rotate pyramid by 190 degrees on Y axis,"rotateObject(target='pyramid', rotation={x:0, y:190, z:0})"
Rotate cube by 322 degrees on Z axis,"rotateObject(target='cube', rotation={x:0, y:0, z:322})"
Rotate pyramid by 79 degrees on Z axis,"rotateObject(target='pyramid', rotation={x:0, y:0, z:79})"
Rotate pyramid by 115 degrees on Z axis,"rotateObject(target='pyramid', rotation={x:0, y:0, z:115})"
Rotate pyramid by 29 degrees on X axis,"rotateObject(target='pyramid', rotation={x:29, y:0, z:0})"
Rotate pyramid by 75 degrees on Y axis,"rotateObject(target='pyramid', rotation={x:0, y:75, z:0})"
Rotate sphere by 191 degrees on X axis,"rotateObject(target='sphere', rotation={x:191, y:0, z:0})"
Rotate pyramid by 23 degrees on Y axis,"rotateObject(target='pyramid', rotation={x:0, y:23, z:0})"
Rotate sphere by 238 degrees on X axis,"rotateObject(target='sphere', rotation={x:238, y:0, z:0})"
Rotate pyramid by 134 degrees on X axis,"rotateObject(target='pyramid', rotation={x:134, y:0, z:0})"
Rotate pyramid by 20 degrees on X axis,"rotateObject(target='pyramid', rotation={x:20, y:0, z:0})"
Rotate cube by 82 degrees on X axis,"rotateObject(target='cube', rotation={x:82, y:0, z:0})"
Rotate pyramid by 270 degrees on X axis,"rotateObject(target='pyramid', rotation={x:270, y:0, z:0})"
Rotate pyramid by 226 degrees on X axis,"rotateObject(target='pyramid', rotation={x:226, y:0, z:0})"
Rotate sphere by 19 degrees on X axis,"rotateObject(target='sphere', rotation={x:19, y:0, z:0})"
Rotate cube by 140 degrees on Z axis,"rotateObject(target='cube', rotation={x:0, y:0, z:140})"
Rotate pyramid by 135 degrees on X axis,"rotateObject(target='pyramid', rotation={x:135, y:0, z:0})"
